Species,Phonotypes,RMSE.A,Res.B
35,16,10.26575963,0.244477079
36,16,10.82564817,0.24906345
37,16,11.38670748,0.252649549
38,16,11.95458895,0.255830347
39,16,12.51188529,0.259345048
40,16,13.05939117,0.263839288
41,16,13.63552366,0.267565915
42,16,14.20630232,0.270324365
43,16,14.77469152,0.272494032
44,16,15.34314316,0.275544749
45,16,15.90111552,0.278659997
46,16,16.44718269,0.281855221
47,16,17.01342879,0.28647822
48,16,17.59595336,0.285930931
49,16,18.1690526,0.289582085
50,16,18.72242773,0.292902981
17,17,0,0
18,17,0.567505501,0.041067799
19,17,1.052865279,0.070349738
20,17,1.552430938,0.093404479
21,17,2.063462178,0.112355151
22,17,2.589091337,0.127188256
23,17,3.117222753,0.140683333
24,17,3.654392025,0.151875412
25,17,4.196195205,0.161550084
26,17,4.729155482,0.171705468
27,17,5.279315839,0.179509974
28,17,5.824767106,0.187455791
29,17,6.38016455,0.193743943
30,17,6.930172846,0.200638125
31,17,7.483534376,0.205862055
32,17,8.035926095,0.212109624
33,17,8.592016184,0.218032602
34,17,9.145764022,0.223298122
35,17,9.711823115,0.226483492
36,17,10.25893326,0.232674978
37,17,10.82279582,0.235750779
38,17,11.39160085,0.238202477
39,17,11.95550186,0.242291996
40,17,12.52343233,0.24561449
41,17,13.07485587,0.250505501
42,17,13.63461165,0.253349964
43,17,14.20016187,0.255795153
44,17,14.77417905,0.258101474
45,17,15.34172838,0.261094866
46,17,15.88949337,0.265820132
47,17,16.45829894,0.267879119
48,17,17.02118923,0.271201576
49,17,17.58730075,0.27301381
50,17,18.16224774,0.274735597
18,18,0,0
19,18,0.568142758,0.038673565
20,18,1.052643955,0.066707079
21,18,1.555546038,0.088050043
22,18,2.067085563,0.106037238
23,18,2.59282824,0.120190506
24,18,3.119632753,0.132828019
25,18,3.646174603,0.145297814
26,18,4.190363685,0.153987462
27,18,4.737065313,0.162523448
28,18,5.281873714,0.170690185
29,18,5.824654607,0.178034307
30,18,6.377041533,0.184459098
31,18,6.930433314,0.190658613
32,18,7.486615667,0.196269612
33,18,8.040913112,0.201224923
34,18,8.594622736,0.205730467
35,18,9.148435189,0.211664314
36,18,9.713914814,0.215224379
37,18,10.26235647,0.219942204
38,18,10.8339204,0.223473999
39,18,11.38480067,0.227997339
40,18,11.95029305,0.230900778
41,18,12.51797251,0.234021247
42,18,13.08405169,0.23654858
43,18,13.63827719,0.240662359
44,18,14.20822985,0.243320306
45,18,14.77140623,0.247021643
46,18,15.32638986,0.249932388
47,18,15.90360551,0.251858715
48,18,16.45559124,0.255865358
49,18,17.03127256,0.25671151
50,18,17.58918633,0.26052985
19,19,0,0
20,19,0.568396989,0.036605092
21,19,1.053635025,0.063111729
22,19,1.55370992,0.083901182
23,19,2.071408738,0.099981079
24,19,2.596485162,0.113615295
25,19,3.123407023,0.125861129
26,19,3.652246996,0.137438281
27,19,4.195710329,0.146130449
28,19,4.741392581,0.153754008
29,19,5.279394243,0.162954692
30,19,5.832353925,0.168416574
31,19,6.381978135,0.175381911
32,19,6.940539803,0.179616594
33,19,7.488474964,0.185682478
34,19,8.048357323,0.191043007
35,19,8.596996459,0.196669334
36,19,9.156867491,0.20066004
37,19,9.717003316,0.20471221
38,19,10.2766704,0.208920699
39,19,10.83958573,0.212500679
40,19,11.39824459,0.215914051
41,19,11.95694973,0.219237791
42,19,12.51350588,0.224083533
43,19,13.07441875,0.226686702
44,19,13.64972502,0.229505685
45,19,14.22023293,0.231290463
46,19,14.78416329,0.233811011
47,19,15.34883792,0.236390836
48,19,15.91393936,0.240240497
49,19,16.47634846,0.241910472
50,19,17.02530193,0.246568713
20,20,0,0
21,20,0.569037828,0.034672573
22,20,1.055578403,0.059725802
23,20,1.554183157,0.07980613
24,20,2.067041025,0.09599026
25,20,2.595185845,0.108660226
26,20,3.12587997,0.11973418
27,20,3.658979376,0.130075463
28,20,4.200483942,0.138841604
29,20,4.742968978,0.146946474
30,20,5.286434169,0.154274361
31,20,5.831172738,0.161169782
32,20,6.383605717,0.166898288
33,20,6.941249432,0.172033484
34,20,7.492470599,0.177864849
35,20,8.047074536,0.183250892
36,20,8.598241164,0.188051567
37,20,9.159005091,0.191882131
38,20,9.721974523,0.19561505
39,20,10.27663893,0.199366512
40,20,10.84094357,0.202807583
41,20,11.41033904,0.205942995
42,20,11.96206115,0.209583573
43,20,12.5173031,0.213480658
44,20,13.0897423,0.215609751
45,20,13.64357059,0.218075961
46,20,14.21059845,0.221228209
47,20,14.78843447,0.223373013
48,20,15.32894627,0.226970861
49,20,15.91414669,0.22881245
50,20,16.47135717,0.231493734
21,21,0,0
22,21,0.569171599,0.033044383
23,21,1.056126684,0.056931561
24,21,1.556799712,0.075843975
25,21,2.071075404,0.091099159
26,21,2.59690968,0.103581358
27,21,3.126325597,0.114797219
28,21,3.660313529,0.124387201
29,21,4.195768795,0.133345119
30,21,4.737378576,0.141136174
31,21,5.295647594,0.146299608
32,21,5.84115877,0.153424307
33,21,6.382709732,0.160209349
34,21,6.942748146,0.164428512
35,21,7.493977611,0.17014053
36,21,8.05621841,0.1740609
37,21,8.608482663,0.178598216
38,21,9.160973363,0.183097986
39,21,9.717288188,0.187299053
40,21,10.28098567,0.190600026
41,21,10.84289011,0.193981433
42,21,11.39309882,0.19861499
43,21,11.9813572,0.199464846
44,21,12.52589869,0.203565093
45,21,13.08856938,0.20602574
46,21,13.66736005,0.208253088
47,21,14.22196715,0.211417692
48,21,14.75974372,0.217213311
49,21,15.34354695,0.217366247
50,21,15.91449059,0.219615834
22,22,0,0
23,22,0.569648396,0.031450992
24,22,1.057070769,0.05433331
25,22,1.558306069,0.0722871
26,22,2.072635833,0.087023033
27,22,2.596499606,0.099100457
28,22,3.123375838,0.110133251
29,22,3.659586534,0.119327439
30,22,4.196671609,0.127439387
31,22,4.747183829,0.134166162
32,22,5.292318944,0.141159591
33,22,5.832745165,0.147808751
34,22,6.392926234,0.152507353
35,22,6.940703664,0.158339349
36,22,7.497576742,0.162397419
37,22,8.057002859,0.166306373
38,22,8.600052613,0.172246603
39,22,9.16247767,0.175555925
40,22,9.723001622,0.179955498
41,22,10.27681096,0.183142296
42,22,10.84189924,0.186591978
43,22,11.39032067,0.190376438
44,22,11.97089446,0.192299188
45,22,12.5291512,0.195333642
46,22,13.08798844,0.1984625
47,22,13.63469918,0.202046118
48,22,14.21913889,0.203670878
49,22,14.78260022,0.206556521
50,22,15.35439579,0.207703508
23,23,0,0
24,23,0.569436664,0.030132718
25,23,1.055416207,0.052195798
26,23,1.559634299,0.069115105
27,23,2.07570675,0.082990918
28,23,2.599751467,0.094793993
29,23,3.13248639,0.104503075
